count,country,ship
     99,"ARGENTINA","ANASTASIA"
    124,"ARGENTINA","CANON TRADER I"
     68,"ARGENTINA","CRETAN WAVE"
     84,"ARGENTINA","MINOAN FALCON"
     59,"ARGENTINA","ORIENT TARGET"
    123,"AUSTRALIA","ALPHA FAITH"
     13,"AUSTRALIA","ALPHA HAPPINESS"
     34,"AUSTRALIA","ALTAIR DREAM"
     57,"AUSTRALIA","AM ZENICA"
    113,"AUSTRALIA","ATHENIAN PHOENIX"
     85,"AUSTRALIA","BLUE LHOTSE"
     28,"AUSTRALIA","CAPE EUROPE"
     54,"AUSTRALIA","CAPE ISTANBUL"
    110,"AUSTRALIA","CAPE VENTURE"
    236,"AUSTRALIA","CHANG HO"
    137,"AUSTRALIA","CHINA TRIUMPH"
    132,"AUSTRALIA","DARYA SHANTHI"
    234,"AUSTRALIA","DARYA TARA"
     90,"AUSTRALIA","ETERNAL POWER"
    104,"AUSTRALIA","GRANDE SOLARIS"
     12,"AUSTRALIA","HANJIN SHIKOKU"
     49,"AUSTRALIA","K.ASTER"
     29,"AUSTRALIA","K.HOPE"
    250,"AUSTRALIA","KMAX RULER"
     39,"AUSTRALIA","KSL SINGAPORE"
     81,"AUSTRALIA","MAGDALENA OLDENDORFF"
     38,"AUSTRALIA","MV MARIGOLD"
     88,"AUSTRALIA","NAVIOS FANTASTIKS"
     88,"AUSTRALIA","NAVIOS GALAXY I"
     69,"AUSTRALIA","OITA MARU"
    106,"AUSTRALIA","PSU CHILE"
     82,"AUSTRALIA","PUGNANI"
     32,"AUSTRALIA","Q GAYLE"
    272,"AUSTRALIA","RTM GLADSTONE"
    614,"AUSTRALIA","RTM WAKMATHA"
    132,"AUSTRALIA","SEA MAPLE"
     25,"AUSTRALIA","SEASTRENGTH"
     76,"AUSTRALIA","SPARTA"
     38,"AUSTRALIA","TIAN FA HAI"
     58,"AUSTRALIA","TOM PRICE"
     85,"AUSTRALIA","UNIVERSAL1"
      7,"AUSTRALIA","ZOSCO SHANGHAI"
    114,"BRAZIL","APELLIS"
    376,"BRAZIL","BAKKEDAL"
    544,"BRAZIL","BULK JULIANA"
    492,"BRAZIL","CAPE FLATTERY"
     69,"BRAZIL","CEMENTOS CANTABRICO"
     31,"BRAZIL","CLEARWATER BAY"
    121,"BRAZIL","CRUX"
    114,"BRAZIL","JAG AARATI"
    428,"BRAZIL","KOSZALIN"
    324,"BRAZIL","LADY DORIS"
    125,"BRAZIL","NIMERTIS"
    336,"BRAZIL","NORD MONTREAL"
    122,"BRAZIL","ORIENT ACCORD"
    276,"BRAZIL","PRETTY LADY"
     86,"BRAZIL","PUNA"
    120,"BULGARIA","AGIOSNIKOLAS"
     32,"BULGARIA","INCE EGE"
     86,"BULGARIA","INDRA  II"
     20,"BULGARIA","PRINCESS MARIA"
    101,"BULGARIA","YUAN AN HAI"
    393,"CANADA","ACHILLES"
    378,"CANADA","ALAM MANIS"
    177,"CANADA","ALETHINI"
    135,"CANADA","ASIAN BLOSSOM"
    129,"CANADA","ASSIMINA"
    378,"CANADA","ASTORIA"
    372,"CANADA","ATLANTIC BRIDGE"
    324,"CANADA","ATLANTIC MERIDA"
    164,"CANADA","AURORA BULKER"
    157,"CANADA","AVENTICUM"
     70,"CANADA","BAHRI BULK"
    300,"CANADA","CAROLA"
    366,"CANADA","CHRISTINE B"
      7,"CANADA","CSL NIAGARA"
    126,"CANADA","DANGJIN"
    447,"CANADA","ELVIRA BULKER"
    372,"CANADA","ERBAYERN"
    378,"CANADA","ERO L"
    489,"CANADA","FPMC B HARMONY"
